English	Russian	Portal	Ukrainian	Other	Date
10.4	55.5	3.4	28.4	2.3	2014-12-01
10.6	60.5	4.3	22.2	2.4	2015-01-01
12.3	43.5	8.8	32.9	2.5	2015-02-01
22.0	0.0	11.3	62.0	4.7	2015-03-01
17.1	0.0	11.4	67.7	3.8	2015-04-01
11.1	58.7	0.0	27.6	2.6	2015-05-01
11.5	61.9	0.0	24.0	2.6	2015-06-01
11.3	68.9	0.0	17.7	2.1	2015-07-01
12.4	68.9	0.0	15.9	2.8	2015-08-01
12.3	63.2	0.0	21.4	3.1	2015-09-01
10.9	64.6	0.0	22.5	2.0	2015-10-01
10.7	62.8	0.0	24.6	1.9	2015-11-01
8.5	65.3	0.0	24.1	2.1	2015-12-01
8.7	72.4	0.0	16.0	2.9	2016-01-01
8.4	65.8	0.0	19.2	6.6	2016-02-01
8.7	66.8	0.0	22.6	1.9	2016-03-01
10.1	63.5	0.0	23.1	3.3	2016-04-01
8.4	65.0	0.0	23.9	2.7	2016-05-01
10.9	67.9	0.0	19.2	2.0	2016-06-01
11.9	71.4	0.0	14.7	2.0	2016-07-01
13.5	69.7	0.0	14.0	2.8	2016-08-01
